tag,assignment_count,file_count,section_count,sections,classification,citation_like
The Season After Pentecost,31,31,1,acna2019collects,topic_or_source,no
Holy Days,30,30,1,acna2019collects,topic_or_source,no
The Nation,30,30,6,acna2019;coe1662;coi2004;potec;tec1928;tec1979,topic_or_source,no
Augustine,29,29,1,potec,topic_or_source,no
Church of South India,27,27,4,parish-devotional;parish-occasions;parish-sacraments;parish-year,source_like,no
Those in Need,27,27,4,acna2019;davidtaylor;other;potec,topic_or_source,no
Holy Communion,26,26,2,other;parish-sacraments,topic_or_source,no
Book of Common Order,25,25,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year,source_like,no
General and Concluding Prayers,25,25,7,acna2019;coe1662;coi2004;other;potec;tec1928;tec1979,topic_or_source,no
New Every Morning,25,25,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,topic_or_source,no
Society and Industry,25,25,1,parish-intercessory,source_like,no
At Times of Prayer and Worship,24,24,3,acna2019;potec;tec1979,topic_or_source,no
Canadian Prayer Book,24,24,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year,source_like,no
Church Meetings,24,24,1,parish-supplementary,topic_or_source,no
Home and Friends,24,24,1,parish-intercessory,topic_or_source,no
Concluding Prayers,23,23,2,parish-devotional;parish-occasions,topic_or_source,no
Fifth Sunday After Easter: Rogation Sunday,23,23,1,parish-year,topic_or_source,no
Scottish Prayer Book,23,23,5,parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year,source_like,no
The Nations of the World,23,23,1,parish-intercessory,topic_or_source,no
Whitsunday,23,23,1,parish-year,topic_or_source,no
Whitsuntide,23,23,1,parish-year,topic_or_source,no
Ascensiontide,22,22,1,parish-year,topic_or_source,no
Education and Youth,22,22,1,parish-intercessory,topic_or_source,no
Family and Personal Life (Throughout the Day),22,22,3,acna2019;potec;tec1979,topic_or_source,no
Gift Day or Stewardship Sunday,22,22,1,parish-occasions,topic_or_source,no
Leonine Sacramentary,22,22,4,parish-devotional;parish-sacraments;parish-year;potec,source_like,no
The Church at Home,22,22,1,parish-intercessory,topic_or_source,no
The Sick,22,22,1,parish-sacraments,topic_or_source,no
William Temple,22,22,5,acna2019;parish-devotional;parish-intercessory;parish-occasions;parish-year,topic_or_source,no
First Century Prayers,21,21,1,potec,topic_or_source,no
Prayers for the Christian Year,21,21,2,parish-occasions;parish-year,topic_or_source,no
Septuagesima to Quinquagesima,21,21,1,parish-year,topic_or_source,no
The Departed,21,21,1,parish-sacraments,topic_or_source,no
Vestry Prayers,21,21,1,parish-supplementary,topic_or_source,no
A Memorial Service,20,20,1,parish-occasions,topic_or_source,no
Children’s Church,20,20,1,parish-occasions,topic_or_source,no
Harvest Thanksgiving,20,20,1,parish-occasions,topic_or_source,no
William Bright,20,20,5,parish-devotional;parish-intercessory;parish-occasions;parish-supplementary;parish-year,topic_or_source,no
Education Sunday,19,19,1,parish-occasions,topic_or_source,no
Evangelism,19,19,1,parish-intercessory,topic_or_source,no
Creation,18,18,4,acna2019;coe1662;tec1928;tec1979,topic_or_source,no
Easter,18,18,1,acna2019collects,topic_or_source,no
Henry Alford,18,18,2,parish-devotional;parish-year,topic_or_source,no
In Time of War,18,18,1,parish-intercessory,topic_or_source,no
Lesser Feasts,18,18,1,parish-year,topic_or_source,no
Remembrance Sunday,18,18,1,parish-occasions,topic_or_source,no
The Parish,18,18,1,parish-intercessory,topic_or_source,no
Benedictions and Doxologies,17,17,1,parish-devotional,topic_or_source,no
J. R. W. Stott,17,17,6,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary;parish-year,topic_or_source,no
Opening Prayers,17,17,1,parish-devotional,topic_or_source,no
"The Kingdom, the Power, and the Glory",17,17,5,parish-devotional;parish-intercessory;parish-occasions;parish-supplementary;parish-year,topic_or_source,no
Easter Day,16,16,1,parish-year,topic_or_source,no
Good Friday,16,16,1,parish-year,topic_or_source,no
Praise and Thanksgiving,16,16,1,parish-devotional,topic_or_source,no
Rogationtide,16,16,1,parish-year,topic_or_source,no
Sunday School Festival,16,16,1,parish-occasions,topic_or_source,no
George Appleton,15,15,3,parish-intercessory;parish-occasions;parish-year,topic_or_source,no
Palm Sunday,15,15,1,parish-year,topic_or_source,no
Pastoral,15,15,3,coe1662;coi2004;tec1928,topic_or_source,no
The Ascension Day,15,15,1,parish-year,topic_or_source,no
The World,15,15,5,coe1662;coi2004;davidtaylor;tec1928;tec1979,topic_or_source,no
Third Century Prayers,15,15,1,potec,topic_or_source,no
Apostolic Constitutions,14,14,1,potec,topic_or_source,no
At Evening,14,14,1,parish-devotional,topic_or_source,no
B. F. Westcott,14,14,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,topic_or_source,no
Dedication Festival,14,14,1,parish-occasions,topic_or_source,no
Frederick B. Macnutt,14,14,3,parish-intercessory;parish-sacraments;parish-year,topic_or_source,no
Irish Prayer Book,14,14,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,source_like,no
Mothering Sunday Service,14,14,1,parish-occasions,topic_or_source,no
Watch-Night Service,14,14,1,parish-occasions,topic_or_source,no
Dedication,13,13,1,parish-devotional,topic_or_source,no
Health Services and Hospitals,13,13,1,parish-intercessory,topic_or_source,no
In the Morning,13,13,1,parish-devotional,topic_or_source,no
Missionary Festival,13,13,1,parish-occasions,topic_or_source,no
New Testament Prayers,13,13,1,potec,topic_or_source,no
Our Daily Work,13,13,1,parish-devotional,topic_or_source,no
The Coming of God’s Kingdom,13,13,1,parish-intercessory,topic_or_source,no
The Epiphany,13,13,1,parish-year,topic_or_source,no
A Civic Service,12,12,1,parish-occasions,topic_or_source,no
Adapted from Book of Common Prayer,12,12,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,provenance_non_scriptural_source,no
Choir Festival,12,12,1,parish-occasions,topic_or_source,no
Travel,12,12,1,parish-intercessory,topic_or_source,no
Week of Prayer for Christian Unity,12,12,1,parish-occasions,topic_or_source,no
Confirmation,11,11,1,parish-sacraments,topic_or_source,no
Euchologium Anglicanum,11,11,1,parish-year,source_like,no
Marriage,11,11,1,parish-sacraments,topic_or_source,no
Rites of Healing,11,11,1,acna2019,topic_or_source,no
Second Century Prayers,11,11,1,potec,topic_or_source,no
Those in Spiritual Need,11,11,1,parish-intercessory,topic_or_source,no
Trinity Sunday,11,11,1,parish-year,topic_or_source,no
Youth Festival,11,11,1,parish-occasions,topic_or_source,no
Commons of Commemoration,10,10,1,acna2019collects,topic_or_source,no
Courage and Perseverance,10,10,1,parish-devotional,topic_or_source,no
Family Prayer,10,10,1,acna2019,topic_or_source,no
Maundy Thursday,10,10,1,parish-year,topic_or_source,no
Old People’s Service,10,10,1,parish-occasions,topic_or_source,no
Penitence and Pardon,10,10,1,parish-devotional,topic_or_source,no
Second Sunday in Advent (Bible Sunday),10,10,1,parish-year,topic_or_source,no
The Circumcision,10,10,1,parish-year,topic_or_source,no
W. David O. Taylor,10,10,1,davidtaylor,topic_or_source,no
A Diocesan Service Book,9,9,4,parish-intercessory;parish-occasions;parish-sacraments;parish-supplementary,source_like,no
Ash Wednesday,9,9,1,parish-year,topic_or_source,no
C. J. Vaughan,9,9,3,parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Christmas Day,9,9,1,parish-year,topic_or_source,no
Confessions,9,9,4,acna2019collects;coi2004;other;potec,topic_or_source,no
Faith,9,9,1,parish-devotional,topic_or_source,no
Holy Baptism,9,9,1,parish-sacraments,topic_or_source,no
Knowledge and Truth,9,9,1,parish-devotional,topic_or_source,no
Liturgy of St. Mark,9,9,2,parish-intercessory;potec,source_like,no
Love,9,9,1,parish-devotional,topic_or_source,no
Peter Green,9,9,2,parish-intercessory;parish-year,topic_or_source,no
Pulpit Prayers,9,9,1,parish-supplementary,topic_or_source,no
The Christian Warfare,9,9,1,parish-devotional,topic_or_source,no
W. E. Orchard,9,9,3,parish-intercessory;parish-occasions;parish-year,topic_or_source,no
A Procession of Passion Prayers,8,8,3,parish-occasions;parish-sacraments;parish-year,topic_or_source,no
Before Bible Study,8,8,1,parish-supplementary,topic_or_source,no
Burial of the Dead,8,8,1,acna2019,topic_or_source,no
Childbirth,8,8,1,parish-sacraments,topic_or_source,no
Fifth Sunday in Lent: Passion Sunday,8,8,1,parish-year,topic_or_source,no
Guild of Health,8,8,2,parish-intercessory;parish-sacraments,source_like,no
Inward Peace,8,8,1,parish-devotional,topic_or_source,no
James M. Todd,8,8,4,parish-devotional;parish-intercessory;parish-occasions;parish-year,topic_or_source,no
John Hunter,8,8,5,parish-devotional;parish-intercessory;parish-occasions;parish-sacraments;parish-year,topic_or_source,no
L. E. H. Stephens-Hodge,8,8,1,parish-year,topic_or_source,no
Offertory Prayers,8,8,1,parish-supplementary,topic_or_source,no
Rulers and Statesmen,8,8,1,parish-intercessory,topic_or_source,no
St. Augustine,8,8,3,parish-devotional;parish-occasions;parish-year,topic_or_source,no
Sunday Called Septuagesima,8,8,1,parish-year,topic_or_source,no
William Knight,8,8,4,parish-devotional;parish-intercessory;parish-occasions;parish-year,topic_or_source,no
A Prayer Meeting,7,7,1,parish-supplementary,topic_or_source,no
After the Third Collect,7,7,4,parish-devotional;parish-intercessory;parish-occasions;parish-year,provenance_non_scriptural_source,no
Basil Naylor,7,7,1,parish-year,topic_or_source,no
"Canterbury Convocation, 1862",7,7,2,parish-occasions;parish-year,source_like,no
Christmas Eve,7,7,1,parish-year,topic_or_source,no
"Death, the Departed, and the Communion of Saints",7,7,1,acna2019,topic_or_source,no
Dedication of Memorial Gifts,7,7,1,parish-occasions,topic_or_source,no
E. B. Pusey,7,7,3,parish-devotional;parish-sacraments;parish-year,topic_or_source,no
First Sunday After Easter,7,7,1,parish-year,topic_or_source,no
First Sunday After Trinity,7,7,1,parish-year,topic_or_source,no
First Sunday in Advent,7,7,1,parish-year,topic_or_source,no
First Sunday in Lent,7,7,1,parish-year,topic_or_source,no
Guidance,7,7,1,parish-devotional,topic_or_source,no
Lancelot Andrewes,7,7,4,acna2019;parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Liturgy of the Catholic Apostolic Church,7,7,3,parish-devotional;parish-sacraments;parish-year,source_like,no
Mozarabic Sacramentary,7,7,2,parish-devotional;parish-year,source_like,no
Prayers Suitable for Use at a Marriage Reunion Service,7,7,1,parish-sacraments,topic_or_source,no
Second Sunday After Epiphany,7,7,1,parish-year,topic_or_source,no
South African Prayer Book,7,7,3,parish-intercessory;parish-sacraments;parish-year,source_like,no
Sunday After Ascension Day,7,7,1,parish-year,topic_or_source,no
Sunday Called Quinquagesima,7,7,1,parish-year,topic_or_source,no
The Commonwealth,7,7,1,parish-intercessory,topic_or_source,no
W. E. Scudamore,7,7,2,parish-intercessory;parish-year,topic_or_source,no
With all our Strength,7,7,4,parish-devotional;parish-intercessory;parish-occasions;parish-year,topic_or_source,no
A Christmas Carol Service,6,6,1,parish-year,topic_or_source,no
Ambrose,6,6,1,potec,topic_or_source,no
Christina Rossetti,6,6,2,parish-devotional;parish-year,topic_or_source,no
Collects,6,6,1,tec1928,topic_or_source,no
Eleventh Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
Fifteenth Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
First Sunday After Epiphany,6,6,1,parish-year,topic_or_source,no
Fourteenth Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
Fourth Sunday After Epiphany,6,6,1,parish-year,topic_or_source,no
Fourth Sunday in Advent,6,6,1,parish-year,topic_or_source,no
Gregorian Sacramentary,6,6,3,parish-devotional;parish-intercessory;parish-year,source_like,no
Growth in Grace,6,6,1,parish-devotional,topic_or_source,no
James Ferguson,6,6,1,parish-year,topic_or_source,no
Liturgy of St. James,6,6,3,parish-sacraments;parish-year;potec,source_like,no
Nineteenth Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
Prayer for Mission,6,6,1,acna2019,topic_or_source,no
Salisbury Book of Occasional Offices,6,6,4,parish-intercessory;parish-occasions;parish-sacraments;parish-year,source_like,no
Second Sunday After Easter,6,6,1,parish-year,topic_or_source,no
Sunday Called Sexagesima,6,6,1,parish-year,topic_or_source,no
Sunday Next Before Advent (Trinity Xxv),6,6,1,parish-year,topic_or_source,no
Tenth Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
Third Sunday After Trinity,6,6,1,parish-year,topic_or_source,no
A Book of Prayers for Students,5,5,3,parish-devotional;parish-intercessory;parish-sacraments,source_like,no
Charles Chapman Grafton,5,5,1,other,topic_or_source,no
Easter Even,5,5,1,parish-year,topic_or_source,no
Eighteenth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Eighth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Fifth Sunday After Epiphany,5,5,1,parish-year,topic_or_source,no
Fourth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Fourth Sunday in Lent: Mothering Sunday,5,5,1,parish-year,topic_or_source,no
General Intercessions,5,5,1,parish-intercessory,topic_or_source,no
Harold Anson,5,5,3,parish-intercessory;parish-occasions;parish-year,topic_or_source,no
Harold Riley,5,5,1,parish-year,topic_or_source,no
Jeremy Taylor,5,5,3,parish-intercessory;parish-occasions;parish-year,topic_or_source,no
John Cosin,5,5,3,parish-devotional;parish-occasions;parish-year,topic_or_source,no
Lutheran Church,5,5,3,parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Monday Before Easter,5,5,1,parish-year,topic_or_source,no
Ninth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Prayers of the World-Wide Church,5,5,3,parish-intercessory;parish-occasions;parish-year,topic_or_source,no
Prayers Which May Be Used at the Burial of One Who Has Taken His Own Life,5,5,1,parish-sacraments,topic_or_source,no
R. M. Benson,5,5,4,parish-intercessory;parish-sacraments;parish-supplementary;parish-year,topic_or_source,no
Richard D. Acland,5,5,1,parish-year,topic_or_source,no
Rites of Healing (Prayers for Use by a Sick Person),5,5,1,acna2019,topic_or_source,no
Ruby E. Cleeve,5,5,1,parish-occasions,topic_or_source,no
Second Sunday in Lent,5,5,1,parish-year,topic_or_source,no
Seventeenth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Sixteenth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Sixth Sunday After Epiphany,5,5,1,parish-year,topic_or_source,no
Sunday After Christmas,5,5,1,parish-year,topic_or_source,no
The Spirit of Service,5,5,1,parish-devotional,topic_or_source,no
Third Sunday After Epiphany,5,5,1,parish-year,topic_or_source,no
Third Sunday in Advent,5,5,1,parish-year,topic_or_source,no
Third Sunday in Lent,5,5,1,parish-year,topic_or_source,no
Thomas Ken,5,5,3,parish-devotional;parish-occasions;parish-year,topic_or_source,no
Twentieth Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Twenty-Second Sunday After Trinity,5,5,1,parish-year,topic_or_source,no
Vesting Prayers,5,5,1,other,topic_or_source,no
W. Walsham How,5,5,3,parish-devotional;parish-sacraments;parish-year,topic_or_source,no
"A Form of Prayer, May 1940",4,4,2,parish-devotional;parish-intercessory,topic_or_source,no
A. McCheane,4,4,1,parish-year,topic_or_source,no
Clement of Rome,4,4,1,potec,topic_or_source,no
Country Services,4,4,2,parish-intercessory;parish-year,topic_or_source,no
E. W. Benson,4,4,3,parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Ember Days,4,4,2,acna2019collects;coe1662,topic_or_source,no
Fifth Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Fourth Sunday After Easter,4,4,1,parish-year,topic_or_source,no
Guild of St. Raphael,4,4,1,parish-sacraments,source_like,no
J. Armitage Robinson,4,4,3,parish-intercessory;parish-supplementary;parish-year,topic_or_source,no
John Donne,4,4,2,other;parish-occasions,topic_or_source,no
John Wesley’s Prayers,4,4,3,parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Mothers’ Union,4,4,2,parish-intercessory;parish-sacraments,topic_or_source,no
National Days,4,4,1,acna2019collects,topic_or_source,no
Percy Dearmer,4,4,1,parish-intercessory,topic_or_source,no
Rogation Days,4,4,2,acna2019collects;tec1928,topic_or_source,no
Second Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Sixth Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
The Christmas Crib,4,4,1,parish-year,topic_or_source,no
The Eastern Church,4,4,1,potec,topic_or_source,no
Third Sunday After Easter,4,4,1,parish-year,topic_or_source,no
Thirteenth Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Twelfth Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Twenty-First Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Twenty-Fourth Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
Twenty-Third Sunday After Trinity,4,4,1,parish-year,topic_or_source,no
William Laud,4,4,3,acna2019;parish-devotional;parish-intercessory,topic_or_source,no
"A Form of Prayer, August 1914",3,3,2,parish-intercessory;parish-occasions,topic_or_source,no
"A Form of Prayer, August 1918",3,3,1,parish-intercessory,topic_or_source,no
After Jeremy Taylor,3,3,2,parish-devotional;parish-intercessory,provenance_non_scriptural_source,no
"Anglican Altar Services, 1941",3,3,1,parish-year,topic_or_source,no
Arthur W. Robinson,3,3,3,parish-devotional;parish-intercessory;parish-year,topic_or_source,no
Basil,3,3,1,potec,topic_or_source,no
Charles H. Brent,3,3,3,parish-intercessory;parish-occasions;parish-sacraments,topic_or_source,no
E. M. Goulburn,3,3,2,parish-devotional;parish-year,topic_or_source,no
E. Milner-White,3,3,1,parish-year,topic_or_source,no
Erasmus,3,3,3,parish-devotional;parish-sacraments;parish-year,topic_or_source,no
For the Blessing of a Civil Marriage,3,3,1,parish-sacraments,topic_or_source,no
Gallican Sacramentary,3,3,3,parish-devotional;parish-year;potec,source_like,no
Gavin Hamilton,3,3,2,parish-devotional;parish-intercessory,topic_or_source,no
George H. Russell,3,3,1,parish-intercessory,topic_or_source,no
George Timms,3,3,1,parish-year,topic_or_source,no
"German Reformed Church, U.S.A.",3,3,1,parish-year,topic_or_source,no
Handley C. G. Moule,3,3,2,parish-intercessory;parish-year,topic_or_source,no
J. Mountain,3,3,1,parish-year,topic_or_source,no
James Martineau,3,3,1,parish-year,topic_or_source,no
John Chrysostom,3,3,1,potec,topic_or_source,no
Monday in Easter Week,3,3,1,parish-year,topic_or_source,no
Nerses of Clajes,3,3,1,potec,topic_or_source,no
Old Gallican Sacramentary,3,3,1,potec,source_like,no
Ryan Willers,3,3,1,other,topic_or_source,no
Seventh Sunday After Trinity,3,3,1,parish-year,topic_or_source,no
Student Prayer,3,3,2,parish-intercessory;parish-year,topic_or_source,no
The Clementine Liturgy,3,3,1,potec,source_like,no
The Daily Service,3,3,3,parish-devotional;parish-occasions;parish-year,topic_or_source,no
The Nation (Specific to Canada),3,3,1,acna2019,topic_or_source,no
The Nation (Specific to the United States or Mexico),3,3,1,acna2019,topic_or_source,no
Thomas Wilson,3,3,2,parish-devotional;parish-year,topic_or_source,no
Tuesday Before Easter,3,3,1,parish-year,topic_or_source,no
Tuesday in Easter Week,3,3,1,parish-year,topic_or_source,no
W. H. Frere,3,3,1,parish-year,topic_or_source,no
Wednesday Before Easter,3,3,1,parish-year,topic_or_source,no
A Book of Public Worship,2,2,1,parish-intercessory,source_like,no
A Book of Services and Prayers,2,2,1,parish-supplementary,source_like,no
A Devotional Diary,2,2,2,parish-devotional;parish-year,topic_or_source,no
A New Prayer Book,2,2,1,parish-year,source_like,no
Adapted from Gelasian Sacramentary,2,2,2,parish-intercessory;parish-year,provenance_non_scriptural_source,no
Adapted from Irish Prayer Book,2,2,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from Jeremy Taylor,2,2,2,parish-intercessory;parish-year,provenance_non_scriptural_source,no
Adapted from various sources,2,2,2,parish-occasions;parish-year,provenance_non_scriptural_source,no
After Gelasian Sacramentary,2,2,2,parish-intercessory;parish-year,provenance_non_scriptural_source,no
After J. H. Newman,2,2,2,parish-devotional;parish-occasions,provenance_non_scriptural_source,no
After Lancelot Andrewes,2,2,1,parish-year,provenance_non_scriptural_source,no
After St. Augustine,2,2,2,parish-devotional;parish-year,provenance_non_scriptural_source,no
Alcuin,2,2,1,parish-devotional,topic_or_source,no
Ashton Oxenden,2,2,2,parish-supplementary;parish-year,topic_or_source,no
Barnabas,2,2,1,potec,topic_or_source,no
Based on Book of Common Prayer,2,2,2,parish-sacraments;parish-year,provenance_non_scriptural_source,no
Book of Prayers for Students,2,2,1,parish-intercessory,source_like,no
Charles Kingsley,2,2,2,parish-devotional;parish-year,topic_or_source,no
Christian von Bunsen,2,2,2,parish-devotional;parish-year,topic_or_source,no
Convocation of York,2,2,1,parish-sacraments,source_like,no
Coptic Liturgy of St. Cyril,2,2,2,parish-devotional;potec,source_like,no
Diocese of Southwark,2,2,2,parish-sacraments;parish-year,source_like,no
Eugene Bersier,2,2,2,parish-devotional;parish-intercessory,topic_or_source,no
F. T. Woods,2,2,2,parish-devotional;parish-intercessory,topic_or_source,no
Frank Houghton,2,2,2,parish-sacraments;parish-supplementary,topic_or_source,no
Frederick Temple,2,2,2,parish-occasions;parish-year,topic_or_source,no
From a prayer of the Eastern Church,2,2,2,parish-devotional;parish-intercessory,provenance_non_scriptural_source,no
From the Accession Service,2,2,1,parish-intercessory,provenance_non_scriptural_source,no
G. C. Binyon,2,2,1,parish-intercessory,topic_or_source,no
Gordon Hewitt,2,2,1,parish-year,topic_or_source,no
Gothic Missal,2,2,1,parish-year,source_like,no
H. F. Leatherland,2,2,1,parish-intercessory,topic_or_source,no
Henry P. Liddon,2,2,1,parish-year,topic_or_source,no
J. Taylor Smith,2,2,2,parish-intercessory;parish-occasions,topic_or_source,no
James Mountain,2,2,1,parish-year,topic_or_source,no
John Dowden,2,2,2,parish-occasions;parish-sacraments,topic_or_source,no
John Wordsworth,2,2,1,parish-year,topic_or_source,no
"King’s College, Cambridge",2,2,2,parish-occasions;parish-year,topic_or_source,no
Leslie D. Weatherhead,2,2,1,parish-occasions,topic_or_source,no
Leslie S. Hunter,2,2,2,parish-devotional;parish-intercessory,topic_or_source,no
Let Us Pray,2,2,2,parish-sacraments;parish-year,topic_or_source,no
Liturgy of the Blessed Apostles,2,2,1,potec,source_like,no
Margaret Cropper,2,2,1,parish-occasions,topic_or_source,no
"National Mission, 1916",2,2,1,parish-intercessory,topic_or_source,no
Office of None,2,2,1,parish-year,source_like,no
Office of Sext,2,2,2,parish-intercessory;parish-year,source_like,no
Polycarp,2,2,1,potec,topic_or_source,no
"Prayers for Education Sunday, 1956",2,2,1,parish-occasions,topic_or_source,no
Religious Drama Society,2,2,1,parish-supplementary,source_like,no
Salisbury Cathedral,2,2,2,parish-occasions;parish-supplementary,topic_or_source,no
Samuel Johnson,2,2,2,parish-devotional;parish-sacraments,topic_or_source,no
Seasonal,2,2,1,coi2004,topic_or_source,no
Southwark Diocese,2,2,2,parish-devotional;parish-intercessory,source_like,no
St. Anselm,2,2,1,parish-devotional,topic_or_source,no
St. Francis of Assisi,2,2,1,parish-devotional,topic_or_source,no
St. Ignatius Loyola,2,2,2,parish-occasions;parish-sacraments,topic_or_source,no
Sursum Corda,2,2,1,parish-intercessory,topic_or_source,no
Thanksgivings for Family and Personal Life,2,2,1,tec1979,topic_or_source,no
Thanksgivings for National Life,2,2,1,tec1979,topic_or_source,no
Thanksgivings for the Church,2,2,1,tec1979,topic_or_source,no
Thanksgivings for the Natural Order,2,2,1,tec1979,source_like,no
The Baptism of Jesus,2,2,1,parish-year,topic_or_source,no
"The Missionary Conference, 1894",2,2,1,parish-year,source_like,no
The Splendour of God,2,2,1,parish-devotional,topic_or_source,no
Thomas à Kempis,2,2,2,acna2019;parish-intercessory,topic_or_source,no
William Bellars,2,2,2,parish-intercessory;parish-occasions,topic_or_source,no
1 Peter 5:10–11,1,1,1,parish-devotional,bible_reference_like,yes
"A Form of Prayer, March 1941",1,1,1,parish-intercessory,topic_or_source,no
"A Form of Prayer, October 1939",1,1,1,parish-intercessory,topic_or_source,no
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,1,1,parish-year,topic_or_source,no
A Prayer of the Eastern Church,1,1,1,parish-intercessory,topic_or_source,no
A. S. T. Fisher,1,1,1,parish-intercessory,topic_or_source,no
A.C.C.M.,1,1,1,parish-year,topic_or_source,no
Acts of Devotion,1,1,1,parish-intercessory,topic_or_source,no
Adapted from a 16th c. German prayer,1,1,1,parish-year,provenance_non_scriptural_source,no
Adapted from A Book of Guide Prayers,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from A Diocesan Service Book,1,1,1,parish-occasions,provenance_non_scriptural_source,no
Adapted from a prayer at the London Hospital,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,1,1,parish-supplementary,provenance_non_scriptural_source,no
Adapted from a prayer of A. E. Daldy,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from a prayer of S.P.C.K.,1,1,1,parish-intercessory,provenance_non_scriptural_source,no
Adapted from a prayer of St. Thomas Aquinas,1,1,1,parish-sacraments,provenance_non_scriptural_source,no
Adapted from an ancient collect,1,1,1,parish-devotional,provenance_non_scriptural_source,no
Adapted from Book of Common Order,1,1,1,parish-occasions,provenance_non_scriptural_source,no
